*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:06
                                                                                
*RUN   1        : 86_01                     RICER046 SSKT0001    1              
 MODEL          : RICER046 - Rice                                               
 EXPERIMENT     : SSKT0001 RI mulation, Thailand                                
 DATA PATH      : C:\DSSAT46\Rice\                                              
 TREATMENT  1   : 86_01                     RICER046                            
  
@YEAR DOY   DAS   DAP  CNAD  GNAD  VNAD  GN%D  VN%D  NUPC  LNAD  SNAD  LN%D  SN%D  SHND  RN%D  SNN0C  SNN1C                                 
 1986 312   134    99  50.9  22.8  28.1  0.82  1.30  47.4  14.2  14.0  1.30  1.30  0.00  0.75  32.67   2.64
 1986 313   135   100  50.9  23.9  27.0  0.83  1.28  47.4  13.8  13.2  1.28  1.28  0.00  0.75  33.31   2.64
 1986 314   136   101  50.9  25.0  26.0  0.85  1.25  47.4  13.4  12.6  1.25  1.25  0.00  0.75  33.95   2.64
 1986 315   137   102  50.9  26.0  24.9  0.86  1.22  47.4  13.0  11.9  1.22  1.22  0.00  0.75  34.59   2.64
 1986 316   138   103  50.9  27.1  23.8  0.88  1.20  47.4  12.7  11.1  1.20  1.20  0.00  0.76  35.23   2.64
 1986 317   139   104  50.9  28.2  22.7  0.89  1.17  47.4  12.3  10.4  1.17  1.17  0.00  0.76  35.87   2.64
 1986 318   140   105  50.9  29.3  21.6  0.90  1.14  47.4  12.0   9.6  1.14  1.14  0.00  0.77  36.51   2.64
 1986 319   141   106  50.9  30.4  20.5  0.92  1.11  47.4  11.6   8.9  1.11  1.11  0.00  0.77  37.15   2.64
 1986 320   142   107  50.9  30.9  20.0  0.92  1.09  47.4  11.3   8.7  1.09  1.09  0.00  0.77  37.79   2.64
 1986 321   143   108  50.9  30.9  20.0  0.92  1.09  47.4  11.3   8.7  1.09  1.09  0.00  0.77  37.79   2.64
 1986 322   144   109  50.9  30.9  20.0  0.92  1.09  47.4  11.3   8.7  1.09  1.09  0.00  0.77  37.79   2.64

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      DEC 02, 2018; 12:33:07
                                                                                
*RUN   2        : 87_01                     RICER046 SSKT0001    2              
 MODEL          : RICER046 - Rice                                               
